true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,LIME Trust Calculator (10)_13148 - Sum,LIME Trust Calculator (10)_13149 - Sum_Top,LIME Trust Calculator (10)_13150 - Intercept,LIME Trust Calculator (10)_13150 - Pred,LIME Trust Calculator (10)_13150 - Score,LIME Trust Calculator (20)_18111 - Sum,LIME Trust Calculator (20)_18111 - Sum_Top,LIME Trust Calculator (20)_18112 - Intercept,LIME Trust Calculator (20)_18112 - Pred,LIME Trust Calculator (20)_18113 - Score,LIME Trust Calculator (50)_33739 - Sum,LIME Trust Calculator (50)_33739 - Sum_Top,LIME Trust Calculator (50)_33740 - Intercept,LIME Trust Calculator (50)_33740 - Pred,LIME Trust Calculator (50)_33741 - Score,LIME Trust Calculator (100)_57876 - Sum,LIME Trust Calculator (100)_57877 - Sum_Top,LIME Trust Calculator (100)_57877 - Intercept,LIME Trust Calculator (100)_57878 - Pred,LIME Trust Calculator (100)_57878 - Score
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.49685616976084285,0.03258302417151537,0.9743528314374295,0.9825874150405178,-0.0,-0.7335412156875664,0.09418202575104212,0.9227342355318238,0.885774106366917,-0.0,-0.6408144366230181,0.059471510021001504,0.9552459702460945,0.7532818685725027,-0.0,-0.7612115066784969,0.1451799393407656,0.9546395850994717,0.4703124859359882
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.27939177978236707,0.042183495015701344,0.9460659313409593,0.9356943275257366,-0.0,-0.8831165219544347,0.1346420982348035,0.9843651769547966,0.9228570325209753,-0.0,-0.41097765099759964,0.021527330818571007,0.9117770865943262,0.8267441251302322,-0.0,-0.5295533856244508,0.06100960254226473,0.8515648935909453,0.660881600922642
DoS,DoS,0,[0. 1. 0. 0.],1.0,-0.0,0.0,0.1286491729295653,0.9134895688079003,0.9593399799106708,-0.0,-0.07923621062116393,0.07734582878777958,0.9047240045658943,0.9274997838649044,-0.0,-0.10775225668000854,0.08171670396024572,0.9214919660365206,0.7459984892269352,-0.0,-0.14272604797183,0.1675078213469695,0.8333252303964667,0.7342118049293272
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.750989839978697,0.09206643087776283,0.9778883037372669,0.9749783187874046,-0.0,-0.3915760122766255,0.025989993140132714,0.9547523745706001,0.8912591209531973,0.18049671496434636,-0.8098708702888378,0.1329760314996499,0.8286897146412464,0.7473689186960996,-0.0,-0.598217966204042,0.037755910470408646,1.0329939372753005,0.6555301764227914
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.33799672567373984,0.019912705676562174,0.9629476608173906,0.9781884200012064,-0.0,-0.6412787208526426,0.057089899036990896,0.9548767371184185,0.8768165803489297,-0.0,-0.7660268920455557,0.12412951415209086,1.0008003413685258,0.7727785119912993,-0.0,-0.9554883946105163,0.1311510480275252,1.045208671635147,0.5255640739598044
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.5565184272495772,0.04716900162148944,0.949058908974887,0.9576273442872432,-0.0,-0.590713588394931,0.0447711888311847,0.9604544882069243,0.912502837833464,-0.0,-0.7864861588607195,0.09050549362844251,0.9444748967701124,0.8004616728713103,0.15028026685817836,-0.9407181814333869,0.20896319595107915,0.9455001415165732,0.5125347551644461
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.2496745498178531,0.01684369273128484,0.9516910696096059,0.9516624933395563,-0.0,-0.39697811607065064,0.01786451874078966,0.9206852323025121,0.8465323094088244,0.2564444719224157,-0.4407393247430986,0.04892645172689833,0.8282132016921602,0.693465140614002,-0.0,-0.7276440020656065,0.13803138390230052,0.7882205407217491,0.5023219139575946
normal,normal,0,[1. 0. 0. 0.],1.0,-0.0,-0.630666259267837,0.06624927060826498,0.9627290708221526,0.959563445962509,-0.0,-0.2445096168645256,0.0073072298897568855,0.9347919822922357,0.8796204854285716,-0.0,-0.7380468413432645,0.08855444170011793,0.9648179021903249,0.6923463669240251,-0.0,-0.24285762150376544,0.014390806904932272,0.7664693562357352,0.47230720207297083
DoS,DoS,0,[0.1 0.7 0.  0.2],0.42161017527648026,0.27797641992318756,-0.4556500475590796,0.04852699490758195,0.6709098702480027,0.9468838790091187,-0.0,-0.45781704455532685,0.045755497517261684,0.6464832475023713,0.9110695553352497,0.27887977647660495,-0.4645380756679901,0.03545963411794645,0.6912333990102666,0.8012394927021012,0.3296976461549078,-0.03948759511239209,0.03141646835753886,0.5738229446714186,0.6004932321883023
DoS,DoS,0,[0. 1. 0. 0.],1.0,-0.0,-0.01885989484992168,0.07910215781525733,0.942448967810392,0.9636994364672307,-0.0,-0.019920353941931725,0.13180743673305922,0.9389341680978933,0.966123116779872,-0.0,-0.010752476335985531,0.035420594702836275,0.9131823667280803,0.8534535865686033,-0.0,-0.08229441536103689,0.021467629864604796,0.879975324465496,0.6445581168902528
